degreeFrom|type,degreeFrom.o=type.s,degreeFrom.s=http://www.Department12.University5.edu/Lecturer0|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Organization,3
emailAddress|telephone,emailAddress.s=telephone.s,emailAddress.o=UndergraduateStudent27@Department0.University25.edu|,1
type|memberOf,type.s=memberOf.o,|memberOf.s=http://www.Department11.University62.edu/GraduateStudent15,2
member|memberOf,member.o=memberOf.s,|memberOf.o=http://www.Department10.University41.edu,469
takesCourse|publicationAuthor,takesCourse.s=publicationAuthor.o,takesCourse.o=http://www.Department17.University92.edu/GraduateCourse14|publicationAuthor.s=http://www.Department17.University92.edu/FullProfessor2/Publication13,2
name|takesCourse,name.s=takesCourse.o,name.o=Course45|takesCourse.s=http://www.Department3.University41.edu/UndergraduateStudent293,1
publicationAuthor|name,publicationAuthor.o=name.s,publicationAuthor.s=http://www.Department3.University0.edu/AssociateProfessor6/Publication7|name.o=AssociateProfessor6,1
name|type,name.s=type.s,|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateCourse,108514
publicationAuthor|takesCourse,publicationAuthor.o=takesCourse.s,publicationAuthor.s=http://www.Department10.University84.edu/AssistantProfessor2/Publication3|takesCourse.o=http://www.Department10.University84.edu/GraduateCourse23,1
type|publicationAuthor,type.s=publicationAuthor.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent|,633443
name|degreeFrom,name.s=degreeFrom.o,name.o=University51|,485
memberOf|member,memberOf.s=member.o,|member.s=http://www.Department5.University66.edu,581
teachingAssistantOf|type,teachingAssistantOf.o=type.s,teachingAssistantOf.s=http://www.Department6.University83.edu/GraduateStudent82|,2
type|teacherOf,type.s=teacherOf.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Work|teacherOf.s=http://www.Department2.University86.edu/FullProfessor2,3
member|takesCourse,member.o=takesCourse.s,|takesCourse.o=http://www.Department11.University70.edu/GraduateCourse22,4
publicationAuthor|memberOf,publicationAuthor.o=memberOf.s,publicationAuthor.s=http://www.Department7.University2.edu/AssistantProfessor0/Publication4|memberOf.o=http://www.Department7.University2.edu,2
takesCourse|type,takesCourse.o=type.s,takesCourse.s=http://www.Department12.University38.edu/UndergraduateStudent130|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Work,4
type|takesCourse,type.s=takesCourse.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Work|takesCourse.s=http://www.Department8.University49.edu/UndergraduateStudent360,4
member|emailAddress,member.o=emailAddress.s,|emailAddress.o=UndergraduateStudent269@Department16.University66.edu,1
name|takesCourse,name.s=takesCourse.o,name.o=Course22|takesCourse.s=http://www.Department13.University1.edu/UndergraduateStudent204,1
telephone|name,telephone.s=name.s,telephone.o=xxx-xxx-xxxx|name.o=UndergraduateStudent430,703
teacherOf|member,teacherOf.s=member.o,teacherOf.o=http://www.Department6.University65.edu/Course28|member.s=http://www.Department6.University65.edu,1
telephone|takesCourse,telephone.s=takesCourse.s,telephone.o=xxx-xxx-xxxx|,2894749
publicationAuthor|type,publicationAuthor.s=type.s,publicationAuthor.o=http://www.Department10.University69.edu/AssociateProfessor5|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication,12
name|member,name.s=member.o,name.o=FullProfessor1|,2007
takesCourse|publicationAuthor,takesCourse.s=publicationAuthor.o,|publicationAuthor.s=http://www.Department8.University99.edu/AssociateProfessor7/Publication0,2
publicationAuthor|type,publicationAuthor.o=type.s,publicationAuthor.s=http://www.Department3.University24.edu/AssociateProfessor3/Publication5|,7
type|hasAlumnus,type.s=hasAlumnus.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#University|hasAlumnus.o=http://www.Department7.University69.edu/AssistantProfessor3,3
name|member,name.s=member.o,name.o=UndergraduateStudent435|member.s=http://www.Department8.University54.edu,1
type|memberOf,type.s=memberOf.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student|memberOf.o=http://www.Department20.University66.edu,432
memberOf|type,memberOf.s=type.s,memberOf.o=http://www.Department12.University95.edu|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student,320
publicationAuthor|memberOf,publicationAuthor.o=memberOf.s,|memberOf.o=http://www.Department4.University62.edu,816
telephone|undergraduateDegreeFrom,telephone.s=undergraduateDegreeFrom.s,telephone.o=xxx-xxx-xxxx|,324864
undergraduateDegreeFrom|type,undergraduateDegreeFrom.o=type.s,|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Organization,324864
takesCourse|name,takesCourse.s=name.s,takesCourse.o=http://www.Department22.University56.edu/Course40|,17
type|member,type.s=member.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#AssociateProfessor|member.s=http://www.Department10.University96.edu,14
degreeFrom|type,degreeFrom.o=type.s,degreeFrom.s=http://www.Department14.University97.edu/FullProfessor0|,6
type|name,type.s=name.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent|,252562
name|telephone,name.s=telephone.s,name.o=UndergraduateStudent229|,2007
undergraduateDegreeFrom|type,undergraduateDegreeFrom.o=type.s,undergraduateDegreeFrom.s=http://www.Department2.University13.edu/GraduateStudent1|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#University,1
takesCourse|type,takesCourse.s=type.s,takesCourse.o=http://www.Department11.University77.edu/Course35|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent,31
hasAlumnus|type,hasAlumnus.s=type.s,hasAlumnus.o=http://www.Department3.University68.edu/GraduateStudent115|,2
publicationAuthor|type,publicationAuthor.s=type.s,publicationAuthor.o=http://www.Department6.University48.edu/AssistantProfessor3|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication,6
advisor|telephone,advisor.s=telephone.s,advisor.o=http://www.Department13.University56.edu/AssociateProfessor4|telephone.o=xxx-xxx-xxxx,3
type|emailAddress,type.s=emailAddress.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student|emailAddress.o=UndergraduateStudent331@Department16.University3.edu,1
emailAddress|name,emailAddress.s=name.s,|name.o=UndergraduateStudent223,2007
member|takesCourse,member.o=takesCourse.s,|takesCourse.o=http://www.Department6.University28.edu/Course56,15
takesCourse|type,takesCourse.o=type.s,takesCourse.s=http://www.Department4.University5.edu/UndergraduateStudent275|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Course,4
type|name,type.s=name.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent|name.o=UndergraduateStudent126,2007
name|member,name.s=member.o,|member.s=http://www.Department0.University72.edu,501
name|member,name.s=member.s,name.o=Department13|,55761
type|name,type.s=name.s,|name.o=GraduateStudent92,7619
memberOf|name,memberOf.s=name.s,|name.o=GraduateStudent35,2007
type|publicationAuthor,type.s=publicationAuthor.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication|publicationAuthor.o=http://www.Department0.University50.edu/AssociateProfessor11,11
takesCourse|member,takesCourse.s=member.o,takesCourse.o=http://www.Department11.University79.edu/Course52|member.s=http://www.Department11.University79.edu,22
type|takesCourse,type.s=takesCourse.o,|takesCourse.s=http://www.Department5.University81.edu/UndergraduateStudent231,8
takesCourse|memberOf,takesCourse.s=memberOf.s,takesCourse.o=http://www.Department8.University38.edu/Course9|memberOf.o=http://www.Department8.University38.edu,26
type|memberOf,type.s=memberOf.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent|,795970
publicationAuthor|type,publicationAuthor.s=type.s,publicationAuthor.o=http://www.Department22.University41.edu/GraduateStudent100|,4
takesCourse|type,takesCourse.s=type.s,takesCourse.o=http://www.Department3.University14.edu/Course0|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student,32
type|member,type.s=member.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Organization|,1120834
member|type,member.o=type.s,member.s=http://www.Department3.University89.edu|,1562
teacherOf|telephone,teacherOf.s=telephone.s,|telephone.o=xxx-xxx-xxxx,217148
type|takesCourse,type.s=takesCourse.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Work|takesCourse.s=http://www.Department17.University92.edu/UndergraduateStudent316,4
takesCourse|type,takesCourse.s=type.s,takesCourse.o=http://www.Department9.University2.edu/GraduateCourse56|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#ResearchAssistant,3
type|takesCourse,type.s=takesCourse.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Person|,505548
type|name,type.s=name.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Person|name.o=GraduateStudent50,2007
takesCourse|telephone,takesCourse.s=telephone.s,takesCourse.o=http://www.Department5.University95.edu/Course40|telephone.o=xxx-xxx-xxxx,31
member|emailAddress,member.o=emailAddress.s,member.s=http://www.Department6.University41.edu|emailAddress.o=UndergraduateStudent276@Department6.University41.edu,1
emailAddress|advisor,emailAddress.s=advisor.o,emailAddress.o=AssistantProfessor9@Department12.University87.edu|advisor.s=http://www.Department12.University87.edu/GraduateStudent73,1
name|takesCourse,name.s=takesCourse.o,name.o=GraduateCourse6|takesCourse.s=http://www.Department3.University94.edu/GraduateStudent40,1
type|takesCourse,type.s=takesCourse.s,|takesCourse.o=http://www.Department20.University6.edu/Course44,36
type|publicationAuthor,type.s=publicationAuthor.s,|publicationAuthor.o=http://www.Department1.University76.edu/AssistantProfessor9,8
takesCourse|member,takesCourse.s=member.o,|member.s=http://www.Department6.University53.edu,1729
takesCourse|telephone,takesCourse.s=telephone.s,takesCourse.o=http://www.Department17.University21.edu/Course16|telephone.o=xxx-xxx-xxxx,20
telephone|type,telephone.s=type.s,telephone.o=xxx-xxx-xxxx|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Person,252562
member|memberOf,member.o=memberOf.s,|memberOf.o=http://www.Department13.University82.edu,583
member|memberOf,member.s=memberOf.o,member.o=http://www.Department2.University66.edu/GraduateStudent3|memberOf.s=http://www.Department2.University66.edu/GraduateStudent58,1
emailAddress|type,emailAddress.s=type.s,|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Person,252562
name|telephone,name.s=telephone.s,name.o=UndergraduateStudent146|,2007
takesCourse|name,takesCourse.o=name.s,takesCourse.s=http://www.Department23.University31.edu/UndergraduateStudent176|name.o=Course57,1
name|takesCourse,name.s=takesCourse.o,|takesCourse.s=http://www.Department21.University9.edu/UndergraduateStudent314,2
degreeFrom|name,degreeFrom.o=name.s,degreeFrom.s=http://www.Department9.University33.edu/GraduateStudent57|name.o=University93,1
type|memberOf,type.s=memberOf.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Organization|,1120834
memberOf|type,memberOf.s=type.s,|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent,252562
worksFor|memberOf,worksFor.s=memberOf.s,|memberOf.o=http://www.Department0.University76.edu,34
takesCourse|type,takesCourse.s=type.s,takesCourse.o=http://www.Department2.University45.edu/Course26|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student,9
teachingAssistantOf|name,teachingAssistantOf.o=name.s,teachingAssistantOf.s=http://www.Department6.University41.edu/GraduateStudent24|,1
member|takesCourse,member.o=takesCourse.s,member.s=http://www.Department16.University22.edu|,1184
emailAddress|publicationAuthor,emailAddress.s=publicationAuthor.o,emailAddress.o=GraduateStudent51@Department16.University36.edu|publicationAuthor.s=http://www.Department16.University36.edu/FullProfessor8/Publication9,1
type|takesCourse,type.s=takesCourse.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateCourse|takesCourse.s=http://www.Department9.University18.edu/GraduateStudent85,3
doctoralDegreeFrom|name,doctoralDegreeFrom.s=name.s,doctoralDegreeFrom.o=http://www.University423.edu|name.o=FullProfessor1,3
takesCourse|emailAddress,takesCourse.s=emailAddress.s,takesCourse.o=http://www.Department13.University2.edu/Course37|emailAddress.o=UndergraduateStudent164@Department13.University2.edu,1
memberOf|publicationAuthor,memberOf.s=publicationAuthor.o,memberOf.o=http://www.Department2.University75.edu|publicationAuthor.s=http://www.Department2.University75.edu/AssociateProfessor8/Publication2,5
member|name,member.s=name.s,|name.o=Department15,51539
type|doctoralDegreeFrom,type.s=doctoralDegreeFrom.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#AssociateProfessor|doctoralDegreeFrom.o=http://www.University775.edu,21
name|memberOf,name.s=memberOf.o,name.o=Department20|,26760
publicationAuthor|telephone,publicationAuthor.o=telephone.s,|telephone.o=xxx-xxx-xxxx,1442184
name|publicationAuthor,name.s=publicationAuthor.s,name.o=Publication5|,101708
memberOf|member,memberOf.o=member.s,memberOf.s=http://www.Department14.University11.edu/UndergraduateStudent284|member.o=http://www.Department14.University11.edu/GraduateStudent108,1
takesCourse|type,takesCourse.s=type.s,takesCourse.o=http://www.Department11.University10.edu/Course26|,50
degreeFrom|takesCourse,degreeFrom.s=takesCourse.s,degreeFrom.o=http://www.University219.edu|,521
takesCourse|emailAddress,takesCourse.s=emailAddress.s,takesCourse.o=http://www.Department12.University15.edu/Course14|emailAddress.o=UndergraduateStudent35@Department12.University15.edu,1
type|name,type.s=name.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student|name.o=UndergraduateStudent392,1036
advisor|takesCourse,advisor.s=takesCourse.s,advisor.o=http://www.Department9.University93.edu/FullProfessor6|takesCourse.o=http://www.Department9.University93.edu/GraduateCourse11,1
type|telephone,type.s=telephone.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent|,795970
type|takesCourse,type.s=takesCourse.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Course|,2894749
member|advisor,member.o=advisor.s,member.s=http://www.Department12.University96.edu|advisor.o=http://www.Department12.University96.edu/AssistantProfessor6,3
takesCourse|type,takesCourse.o=type.s,takesCourse.s=http://www.Department9.University14.edu/UndergraduateStudent422|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Work,4
member|type,member.s=type.s,member.o=http://www.Department13.University32.edu/GraduateStudent70|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Department,1
emailAddress|type,emailAddress.s=type.s,emailAddress.o=AssociateProfessor9@Department3.University19.edu|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#AssociateProfessor,1
name|telephone,name.s=telephone.s,|telephone.o=xxx-xxx-xxxx,1120834
takesCourse|name,takesCourse.s=name.s,takesCourse.o=http://www.Department1.University36.edu/Course46|,16
telephone|type,telephone.s=type.s,telephone.o=xxx-xxx-xxxx|,2828648
type|publicationAuthor,type.s=publicationAuthor.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Faculty|publicationAuthor.s=http://www.Department13.University66.edu/FullProfessor2/Publication13,1
type|memberOf,type.s=memberOf.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Organization|,1120834
type|takesCourse,type.s=takesCourse.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student|,2389201
type|hasAlumnus,type.s=hasAlumnus.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Faculty|hasAlumnus.s=http://www.University193.edu,197
takesCourse|type,takesCourse.o=type.s,takesCourse.s=http://www.Department10.University61.edu/GraduateStudent150|,9
member|type,member.s=type.s,|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Organization,1120834
type|emailAddress,type.s=emailAddress.s,|emailAddress.o=UndergraduateStudent350@Department18.University96.edu,2
publicationAuthor|emailAddress,publicationAuthor.o=emailAddress.s,publicationAuthor.s=http://www.Department4.University65.edu/AssociateProfessor8/Publication1|,3
memberOf|type,memberOf.s=type.s,memberOf.o=http://www.Department1.University56.edu|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent,424
name|takesCourse,name.s=takesCourse.s,name.o=GraduateStudent87|takesCourse.o=http://www.Department7.University54.edu/GraduateCourse35,1
memberOf|type,memberOf.s=type.s,memberOf.o=http://www.Department7.University61.edu|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student,468
degreeFrom|telephone,degreeFrom.s=telephone.s,degreeFrom.o=http://www.University889.edu|telephone.o=xxx-xxx-xxxx,454
memberOf|takesCourse,memberOf.s=takesCourse.s,|takesCourse.o=http://www.Department7.University19.edu/Course37,15
advisor|teacherOf,advisor.o=teacherOf.s,advisor.s=http://www.Department9.University34.edu/GraduateStudent61|teacherOf.o=http://www.Department9.University34.edu/Course30,1
telephone|advisor,telephone.s=advisor.s,telephone.o=xxx-xxx-xxxx|,411501
hasAlumnus|type,hasAlumnus.o=type.s,hasAlumnus.s=http://www.University949.edu|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#AssociateProfessor,75
advisor|type,advisor.s=type.s,|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Person,252562
memberOf|publicationAuthor,memberOf.s=publicationAuthor.o,memberOf.o=http://www.Department1.University23.edu|publicationAuthor.s=http://www.Department1.University23.edu/AssociateProfessor12/Publication15,5
takesCourse|type,takesCourse.o=type.s,takesCourse.s=http://www.Department14.University62.edu/GraduateStudent70|,9
publicationAuthor|type,publicationAuthor.s=type.s,publicationAuthor.o=http://www.Department0.University10.edu/GraduateStudent55|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication,2
name|memberOf,name.s=memberOf.s,name.o=UndergraduateStudent342|memberOf.o=http://www.Department8.University2.edu,1
type|publicationAuthor,type.s=publicationAuthor.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Professor|publicationAuthor.s=http://www.Department1.University96.edu/AssociateProfessor13/Publication11,1
type|worksFor,type.s=worksFor.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Department|worksFor.s=http://www.Department3.University97.edu/Lecturer5,1
takesCourse|type,takesCourse.o=type.s,takesCourse.s=http://www.Department1.University57.edu/UndergraduateStudent173|,8
memberOf|publicationAuthor,memberOf.s=publicationAuthor.o,|publicationAuthor.s=http://www.Department11.University38.edu/FullProfessor5/Publication4,2
teacherOf|type,teacherOf.s=type.s,teacherOf.o=http://www.Department14.University12.edu/Course9|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Employee,1
type|member,type.s=member.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student|,795970
type|telephone,type.s=telephone.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student|telephone.o=xxx-xxx-xxxx,795970
telephone|name,telephone.s=name.s,telephone.o=xxx-xxx-xxxx|name.o=UndergraduateStudent90,2007
publicationAuthor|type,publicationAuthor.o=type.s,publicationAuthor.s=http://www.Department20.University15.edu/AssociateProfessor0/Publication12|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Person,1
teacherOf|publicationAuthor,teacherOf.s=publicationAuthor.o,|publicationAuthor.s=http://www.Department3.University87.edu/AssociateProfessor0/Publication3,4
takesCourse|telephone,takesCourse.s=telephone.s,takesCourse.o=http://www.Department10.University21.edu/Course45|telephone.o=xxx-xxx-xxxx,25
takesCourse|name,takesCourse.o=name.s,takesCourse.s=http://www.Department7.University4.edu/UndergraduateStudent287|name.o=Course45,1
takesCourse|type,takesCourse.s=type.s,takesCourse.o=http://www.Department11.University58.edu/Course14|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student,26
publicationAuthor|type,publicationAuthor.o=type.s,publicationAuthor.s=http://www.Department12.University71.edu/AssociateProfessor3/Publication3|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#ResearchAssistant,2
name|type,name.s=type.s,name.o=Publication1|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication,68298
member|publicationAuthor,member.o=publicationAuthor.o,member.s=http://www.Department0.University99.edu|,751
publicationAuthor|takesCourse,publicationAuthor.o=takesCourse.s,publicationAuthor.s=http://www.Department13.University39.edu/AssociateProfessor0/Publication7|,1
publicationAuthor|type,publicationAuthor.s=type.s,publicationAuthor.o=http://www.Department9.University89.edu/GraduateStudent4|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication,2
publicationAuthor|type,publicationAuthor.s=type.s,publicationAuthor.o=http://www.Department19.University45.edu/AssociateProfessor6|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication,13
telephone|takesCourse,telephone.s=takesCourse.s,telephone.o=xxx-xxx-xxxx|takesCourse.o=http://www.Department8.University95.edu/Course31,12
type|name,type.s=name.s,|name.o=UndergraduateStudent327,3230
takesCourse|type,takesCourse.s=type.s,takesCourse.o=http://www.Department3.University90.edu/Course34|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent,24
type|name,type.s=name.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication|name.o=Publication2,66353
type|advisor,type.s=advisor.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#TeachingAssistant|advisor.o=http://www.Department4.University14.edu/FullProfessor2,1
takesCourse|type,takesCourse.s=type.s,takesCourse.o=http://www.Department10.University37.edu/Course52|,36
name|takesCourse,name.s=takesCourse.s,name.o=UndergraduateStudent456|takesCourse.o=http://www.Department2.University96.edu/Course26,1
name|type,name.s=type.s,name.o=GraduateStudent13|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent,2007
type|takesCourse,type.s=takesCourse.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent|takesCourse.o=http://www.Department9.University14.edu/Course14,25
type|publicationAuthor,type.s=publicationAuthor.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication|publicationAuthor.o=http://www.Department0.University23.edu/FullProfessor2,16
name|takesCourse,name.s=takesCourse.o,name.o=GraduateCourse35|,9337
type|telephone,type.s=telephone.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Person|telephone.o=xxx-xxx-xxxx,252562
publicationAuthor|takesCourse,publicationAuthor.o=takesCourse.s,|takesCourse.o=http://www.Department20.University6.edu/GraduateCourse33,18
type|name,type.s=name.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student|name.o=UndergraduateStudent9,2007
type|publicationAuthor,type.s=publicationAuthor.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent|publicationAuthor.s=http://www.Department1.University30.edu/FullProfessor2/Publication17,1
type|takesCourse,type.s=takesCourse.s,|takesCourse.o=http://www.Department22.University65.edu/Course18,70
name|publicationAuthor,name.s=publicationAuthor.s,|publicationAuthor.o=http://www.Department0.University60.edu/AssociateProfessor10,10
type|degreeFrom,type.s=degreeFrom.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent|,252562
member|telephone,member.o=telephone.s,member.s=http://www.Department19.University9.edu|telephone.o=xxx-xxx-xxxx,552
name|subOrganizationOf,name.s=subOrganizationOf.s,name.o=Department8|subOrganizationOf.o=http://www.University30.edu,1
publicationAuthor|name,publicationAuthor.o=name.s,|name.o=GraduateStudent69,5013
name|type,name.s=type.s,|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication,808741
type|member,type.s=member.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent|,795970
name|takesCourse,name.s=takesCourse.s,|takesCourse.o=http://www.Department0.University0.edu/Course29,26
telephone|member,telephone.s=member.o,telephone.o=xxx-xxx-xxxx|,1120834
